,y,e,g,u,q,a,b,j,s,n,o,i,x,r,t,z,m,k,f,w,l,h,p,v,c,d
q65-q5-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q92-q0,q10-q0,q0,q0-q9,q0,q30-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q31-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q66-q0-q12,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q93-q0,q0,q0-q9,q0-q19,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q67-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q14-q68-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q15-q0,q0,q8-q0,q16-q0,q94-q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q17-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q14-q69-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q15-q0,q0,q8-q0,q16-q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q17-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q70-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q8-q0-q22-q71,q0,q14-q0,q13-q0-q84-q95,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q26-q0,q0,q8-q0,q0,q0-q7,q0-q6,q0-q48,q0,q0,q5-q27-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q0-q72,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0-q96,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q73-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q11-q74-q0,q0,q14-q0,q13-q0,q20-q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q97-q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
