Time,X,Y,Z,R,Theta,Phi,label
3.1399548,4.538209,6.687006,5.747281,9.916785,54.581047,55.836796,BUENO
3.149972,4.584896,6.6068,5.753267,9.88793,54.419415,55.240658,BUENO
3.1600518,4.623203,6.585252,5.773617,9.903242,54.337982,54.92907,BUENO
3.1699991,4.607641,6.629545,5.773617,9.925516,54.430191,55.200073,BUENO
3.179914,4.562151,6.691794,5.729325,9.920609,54.723877,55.715668,BUENO
3.1901388,4.514267,6.789956,5.692214,9.944015,55.080414,56.382259,BUENO
3.1999209,4.52145,6.839037,5.683835,9.976067,55.26741,56.530361,BUENO
3.2098958,4.564546,6.812701,5.68982,9.981083,55.24556,56.177704,BUENO
3.2204919,4.63278,6.713342,5.740098,9.973983,54.864841,55.391003,BUENO
3.231055,4.659117,6.574478,5.76404,9.907335,54.423092,54.676048,BUENO
3.2399769,4.648343,6.458359,5.731719,9.806635,54.234188,54.255905,BUENO
3.2499399,4.616021,6.435614,5.685032,9.74907,54.328598,54.349567,BUENO
3.2601228,4.569334,6.463148,5.66109,9.731343,54.427139,54.740349,BUENO
3.2703738,4.526238,6.525397,5.62398,9.731227,54.694836,55.253502,BUENO
3.280165,4.495114,6.574478,5.595249,9.733274,54.91032,55.638733,BUENO
3.2899148,4.483143,6.580463,5.583278,9.72492,54.961922,55.73415,BUENO
3.3001018,4.510676,6.564901,5.601235,9.737452,54.884544,55.507442,BUENO
3.3109679,4.507085,6.545747,5.723339,9.793735,54.240246,55.450581,BUENO
3.3198969,4.507085,6.523003,5.723339,9.778547,54.176136,55.357368,BUENO
3.3299069,4.474763,6.497863,5.650316,9.704216,54.390785,55.446701,BUENO
3.3407159,4.531027,6.485892,5.584476,9.684181,54.784065,55.061954,BUENO
3.350049,4.625597,6.476315,5.491102,9.669075,55.39584,54.464329,BUENO
3.3611031,4.754885,6.453571,5.410896,9.671365,55.980434,53.617821,BUENO
3.3710918,4.891354,6.370971,5.303157,9.624868,56.565395,52.484516,BUENO
3.380127,5.048174,6.256049,5.172673,9.559224,57.240192,51.099007,BUENO
3.3902409,5.169082,6.150704,5.085284,9.508453,57.668488,49.956146,BUENO
3.4002848,5.272032,6.178237,5.015852,9.545875,58.301651,49.525112,BUENO
3.410635,5.336676,6.366182,4.985925,9.688541,59.027885,50.027397,BUENO
